20,28/03/2026,Egreso,Alimentación,Delivery,"Cuenta Sueldo BCP",27.90,No
19,28/03/2026,Egreso,Alimentación,"Snacks / antojos","Cuenta Sueldo BCP",5.90,No
18,28/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
17,28/03/2026,Egreso,Alimentación,Cafeterías,Yape,1.50,No
16,28/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
15,27/03/2026,Egreso,Alimentación,Supermercado,"Cuenta Sueldo BCP",12.80,No
14,27/03/2026,Egreso,Entretenimiento,Suscripciones,"Cuenta Sueldo BCP",23.60,No
13,27/03/2026,Ingreso,Sueldo,,"Cuenta Sueldo BCP",258.79,No
12,27/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
9,27/03/2026,Egreso,Alimentación,"Snacks / antojos",Yape,1.50,No
8,27/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
11,26/03/2026,Ingreso,Cachuelitos,,Yape,5.50,No
10,26/03/2026,Egreso,Alimentación,"Snacks / antojos","Cuenta Sueldo BCP",5.50,No
7,26/03/2026,Egreso,Alimentación,"Snacks / antojos",Efectivo,2.20,No
6,26/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
5,26/03/2026,Egreso,Alimentación,Cafeterías,"Cuenta Sueldo BCP",2.50,No
4,26/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
3,25/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
2,25/03/2026,Egreso,Alimentación,"Snacks / antojos",Yape,3.00,No
1,25/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,No
