19,Abraham,CREAR,Movimiento,20,"Nuevo movimiento: Alimentación",,127.0.0.1,"28/03/2026 20:58:58"
18,Abraham,CREAR,Movimiento,19,"Nuevo movimiento: Alimentación",,127.0.0.1,"28/03/2026 18:00:23"
17,Abraham,CREAR,Movimiento,18,"Nuevo movimiento: Transporte",,127.0.0.1,"28/03/2026 17:59:45"
16,Abraham,CREAR,Movimiento,17,"Nuevo movimiento: Alimentación",,127.0.0.1,"28/03/2026 17:59:05"
15,Abraham,CREAR,Movimiento,16,"Nuevo movimiento: Transporte",,127.0.0.1,"28/03/2026 17:58:22"
14,Abraham,CREAR,Movimiento,15,"Nuevo movimiento: Alimentación",,127.0.0.1,"27/03/2026 21:23:36"
13,Abraham,CREAR,Movimiento,14,"Nuevo movimiento: Entretenimiento",,127.0.0.1,"27/03/2026 21:23:01"
12,Abraham,CREAR,Movimiento,13,"Nuevo movimiento: Sueldo",,127.0.0.1,"27/03/2026 21:22:19"
11,Abraham,CREAR,Movimiento,12,"Nuevo movimiento: Transporte",,127.0.0.1,"27/03/2026 21:21:31"
10,Abraham,CREAR,Movimiento,11,"Nuevo movimiento: Cachuelitos",,127.0.0.1,"27/03/2026 21:20:32"
9,Abraham,CREAR,Movimiento,10,"Nuevo movimiento: Alimentación",,127.0.0.1,"27/03/2026 21:20:05"
8,Abraham,CREAR,Movimiento,9,"Nuevo movimiento: Alimentación",,127.0.0.1,"27/03/2026 21:18:44"
7,Abraham,CREAR,Movimiento,7,"Nuevo movimiento: Alimentación",,127.0.0.1,"26/03/2026 20:09:52"
6,Abraham,CREAR,Movimiento,6,"Nuevo movimiento: Transporte",,127.0.0.1,"26/03/2026 20:07:11"
5,Abraham,CREAR,Movimiento,5,"Nuevo movimiento: Alimentación",,127.0.0.1,"26/03/2026 20:05:50"
4,Abraham,CREAR,Movimiento,4,"Nuevo movimiento: Transporte",,127.0.0.1,"26/03/2026 20:04:55"
3,Abraham,CREAR,Movimiento,3,"Nuevo movimiento: Transporte",,127.0.0.1,"25/03/2026 21:05:41"
2,Abraham,CREAR,Movimiento,2,"Nuevo movimiento: Alimentación",,127.0.0.1,"25/03/2026 21:05:12"
1,Abraham,CREAR,Movimiento,1,"Nuevo movimiento: Transporte",,127.0.0.1,"25/03/2026 21:03:25"
